2021/05/21 12:28:03 kid1| Accepting HTTP Socket connections at local=[::]:3128 remote=[::] FD 12 flags=9
2021/05/21 12:28:03 kid1| Accepting HTTP Socket connections at local=[::]:8080 remote=[::] FD 13 flags=9
2021/05/21 12:28:03| pinger: Initialising ICMP pinger ...
2021/05/21 12:28:03| pinger: ICMP socket opened.
2021/05/21 12:28:03| pinger: ICMPv6 socket opened
2021/05/21 12:28:04 kid1| storeLateRelease: released 0 objects
2021/05/21 12:39:12| SendEcho ERROR: sending to ICMPv6 packet to [2607:f8b0:4008:80e::2003]: (101) Network is unreachable
2021/05/21 12:39:12| SendEcho ERROR: sending to ICMPv6 packet to [2607:f8b0:4008:804::200d]: (101) Network is unreachable
2021/05/21 12:39:17| SendEcho ERROR: sending to ICMPv6 packet to [2607:f8b0:4008:800::2004]: (101) Network is unreachable
2021/05/21 12:39:18| SendEcho ERROR: sending to ICMPv6 packet to [2607:f8b0:4008:802::2003]: (101) Network is unreachable
2021/05/21 12:39:20| SendEcho ERROR: sending to ICMPv6 packet to [2607:f8b0:4008:80d::2003]: (101) Network is unreachable
2021/05/21 12:39:21| SendEcho ERROR: sending to ICMPv6 packet to [2607:f8b0:4008:803::2003]: (101) Network is unreachable
2021/05/21 12:39:44| SendEcho ERROR: sending to ICMPv6 packet to [2620:1ec:c11::200]: (101) Network is unreachable
2021/05/21 13:01:56| SendEcho ERROR: sending to ICMPv6 packet to [2607:f8b0:4008:802::200e]: (101) Network is unreachable
2021/05/21 13:13:28 kid1| Logfile: opening log stdio:/var/spool/squid/netdb.state
2021/05/21 13:13:28 kid1| Logfile: closing log stdio:/var/spool/squid/netdb.state
2021/05/21 13:13:28 kid1| NETDB state saved; 7 entries, 1 msec
2021/05/21 13:30:59| SendEcho ERROR: sending to ICMPv6 packet to [2600:1403:5400:584::611]: (101) Network is unreachable
2021/05/21 13:31:04| SendEcho ERROR: sending to ICMPv6 packet to [2603:1030:c04:3::e0]: (101) Network is unreachable
2021/05/21 13:31:17| SendEcho ERROR: sending to ICMPv6 packet to [2620:1ec:c11::200]: (101) Network is unreachable
2021/05/21 13:33:36| SendEcho ERROR: sending to ICMPv6 packet to [2607:f8b0:4008:813::2003]: (101) Network is unreachable
2021/05/21 13:33:36| SendEcho ERROR: sending to ICMPv6 packet to [2607:f8b0:4008:800::200d]: (101) Network is unreachable
2021/05/21 13:33:50| SendEcho ERROR: sending to ICMPv6 packet to [2620:1ec:42::132]: (101) Network is unreachable
2021/05/21 13:33:56| SendEcho ERROR: sending to ICMPv6 packet to [2607:f8b0:4008:801::200a]: (101) Network is unreachable
2021/05/21 13:34:02| SendEcho ERROR: sending to ICMPv6 packet to [2607:f8b0:4008:80e::2003]: (101) Network is unreachable
2021/05/21 13:34:05| SendEcho ERROR: sending to ICMPv6 packet to [2600:1403:5400:5b9::25bb]: (101) Network is unreachable
2021/05/21 13:34:08| SendEcho ERROR: sending to ICMPv6 packet to [2620:1ec:bdf::57]: (101) Network is unreachable
2021/05/21 13:34:19| SendEcho ERROR: sending to ICMPv6 packet to [2607:f8b0:4008:80d::2003]: (101) Network is unreachable
2021/05/21 13:34:24| SendEcho ERROR: sending to ICMPv6 packet to [2607:f8b0:4008:811::200a]: (101) Network is unreachable
2021/05/21 13:35:14| SendEcho ERROR: sending to ICMPv6 packet to [2607:f8b0:4008:810::2010]: (101) Network is unreachable
2021/05/21 13:35:17| SendEcho ERROR: sending to ICMPv6 packet to [2607:f8b0:4008:812::200e]: (101) Network is unreachable
2021/05/21 13:35:26| SendEcho ERROR: sending to ICMPv6 packet to [2607:f8b0:400c:c0d::9c]: (101) Network is unreachable
2021/05/21 13:40:39| SendEcho ERROR: sending to ICMPv6 packet to [2607:f8b0:4008:80e::2003]: (101) Network is unreachable
2021/05/21 13:40:39| SendEcho ERROR: sending to ICMPv6 packet to [2607:f8b0:4008:804::200d]: (101) Network is unreachable
2021/05/21 13:40:41| SendEcho ERROR: sending to ICMPv6 packet to [2607:f8b0:4008:800::2004]: (101) Network is unreachable
2021/05/21 13:40:47| SendEcho ERROR: sending to ICMPv6 packet to [2607:f8b0:4008:803::2003]: (101) Network is unreachable
2021/05/21 13:41:11| SendEcho ERROR: sending to ICMPv6 packet to [2607:f8b0:4008:801::200a]: (101) Network is unreachable
2021/05/21 13:41:11| SendEcho ERROR: sending to ICMPv6 packet to [2a03:90c0:9996::9996]: (101) Network is unreachable
2021/05/21 13:41:11| SendEcho ERROR: sending to ICMPv6 packet to [2600:1901:0:2453::]: (101) Network is unreachable
2021/05/21 13:41:14| SendEcho ERROR: sending to ICMPv6 packet to [2600:9000:20a4:4e00:4:cd76:8580:93a1]: (101) Network is unreachable
2021/05/21 13:41:14| SendEcho ERROR: sending to ICMPv6 packet to [2606:4700::6812:778]: (101) Network is unreachable
2021/05/21 13:41:14| SendEcho ERROR: sending to ICMPv6 packet to [2607:f8b0:4008:806::2008]: (101) Network is unreachable
2021/05/21 13:41:16| SendEcho ERROR: sending to ICMPv6 packet to [2607:f8b0:4008:80d::200a]: (101) Network is unreachable
2021/05/21 13:41:53 kid1| Preparing for shutdown after 1026 requests
2021/05/21 13:41:53 kid1| Waiting 30 seconds for active connections to finish
2021/05/21 13:41:53 kid1| Closing HTTP(S) port [::]:3128
2021/05/21 13:41:53 kid1| Closing HTTP(S) port [::]:8080
2021/05/21 13:41:53 kid1| Closing Pinger socket on FD 15
2021/05/21 13:42:04| Pinger exiting.
2021/05/21 13:42:24 kid1| Shutdown: NTLM authentication.
2021/05/21 13:42:24 kid1| Shutdown: Negotiate authentication.
2021/05/21 13:42:24 kid1| Shutdown: Digest authentication.
2021/05/21 13:42:24 kid1| Shutdown: Basic authentication.
2021/05/21 13:42:24 kid1| Shutting down...
2021/05/21 13:42:24 kid1| storeDirWriteCleanLogs: Starting...
2021/05/21 13:42:24 kid1|   Finished.  Wrote 0 entries.
2021/05/21 13:42:24 kid1|   Took 0.00 seconds (  0.00 entries/sec).
CPU Usage: 385.983 seconds = 352.302 user + 33.681 sys
Maximum Resident Size: 4122448 KB
Page faults with physical i/o: 5
2021/05/21 13:42:24 kid1| Logfile: closing log daemon:/var/log/squid/access.log
2021/05/21 13:42:24 kid1| Logfile Daemon: closing log daemon:/var/log/squid/access.log
2021/05/21 13:42:24 kid1| Open FD UNSTARTED    10 IPC UNIX STREAM Parent
2021/05/21 13:42:24 kid1| Squid Cache (Version 4.6): Exiting normally.
2021/05/21 13:42:24| Removing PID file (/var/run/squid.pid)
2021/05/21 13:42:29| Created PID file (/var/run/squid.pid)
2021/05/21 13:42:33 kid1| Set Current Directory to /var/spool/squid
2021/05/21 13:42:33 kid1| Creating missing swap directories
2021/05/21 13:42:33 kid1| No cache_dir stores are configured.
2021/05/21 13:42:33| Removing PID file (/var/run/squid.pid)
2021/05/21 13:42:38| Created PID file (/var/run/squid.pid)
2021/05/21 13:42:43 kid1| Set Current Directory to /var/spool/squid
2021/05/21 13:42:43 kid1| Starting Squid Cache version 4.6 for x86_64-pc-linux-gnu...
2021/05/21 13:42:43 kid1| Service Name: squid
2021/05/21 13:42:43 kid1| Process ID 2258
2021/05/21 13:42:43 kid1| Process Roles: worker
2021/05/21 13:42:43 kid1| With 1024 file descriptors available
2021/05/21 13:42:43 kid1| Initializing IP Cache...
2021/05/21 13:42:43 kid1| DNS Socket created at [::], FD 5
2021/05/21 13:42:43 kid1| DNS Socket created at 0.0.0.0, FD 9
2021/05/21 13:42:43 kid1| Adding nameserver 179.51.50.202 from /etc/resolv.conf
2021/05/21 13:42:43 kid1| Adding nameserver 179.51.50.203 from /etc/resolv.conf
2021/05/21 13:42:43 kid1| Logfile: opening log daemon:/var/log/squid/access.log
2021/05/21 13:42:43 kid1| Logfile Daemon: opening log /var/log/squid/access.log
2021/05/21 13:42:43 kid1| Local cache digest enabled; rebuild/rewrite every 3600/3600 sec
2021/05/21 13:42:43 kid1| Store logging disabled
2021/05/21 13:42:43 kid1| Swap maxSize 0 + 262144 KB, estimated 20164 objects
2021/05/21 13:42:43 kid1| Target number of buckets: 1008
2021/05/21 13:42:43 kid1| Using 8192 Store buckets
2021/05/21 13:42:43 kid1| Max Mem  size: 262144 KB
2021/05/21 13:42:43 kid1| Max Swap size: 0 KB
2021/05/21 13:42:43 kid1| Using Least Load store dir selection
2021/05/21 13:42:43 kid1| Set Current Directory to /var/spool/squid
2021/05/21 13:42:43 kid1| Finished loading MIME types and icons.
2021/05/21 13:42:43 kid1| HTCP Disabled.
2021/05/21 13:42:43 kid1| Pinger socket opened on FD 15
2021/05/21 13:42:43 kid1| Squid plugin modules loaded: 0
2021/05/21 13:42:43 kid1| Adaptation support is off.
2021/05/21 13:42:43 kid1| Accepting HTTP Socket connections at local=[::]:3128 remote=[::] FD 12 flags=9
2021/05/21 13:42:43 kid1| Accepting HTTP Socket connections at local=[::]:8080 remote=[::] FD 13 flags=9
2021/05/21 13:42:43| pinger: Initialising ICMP pinger ...
2021/05/21 13:42:43| pinger: ICMP socket opened.
2021/05/21 13:42:43| pinger: ICMPv6 socket opened
2021/05/21 13:42:44 kid1| storeLateRelease: released 0 objects
2021/05/21 13:43:04| SendEcho ERROR: sending to ICMPv6 packet to [2607:f8b0:4008:80e::2003]: (101) Network is unreachable
